6AM-7AM,7AM-8AM,8AM-9AM,9AM-10AM,10AM-11AM,11AM-12PM,12PM-1PM,1PM-2PM,2PM-3PM,3PM-4PM,4PM-5PM,5PM-6PM,6PM-7PM,7PM-8PM,8PM-9PM,9PM-10PM,10PM-11PM,11PM-12AM
0,5,11,3,18,32,22,18,17,13,2,33,21,10,4,3,5,3
2,3,10,8,17,31,28,21,16,13,10,35,11,12,1,5,2,0
3,0,12,13,15,23,33,22,14,6,19,33,19,12,7,0,1,4
3,2,9,7,11,30,38,22,11,14,14,33,19,10,7,3,2,2
2,3,10,15,9,26,39,20,17,15,11,35,18,6,3,6,4,1
6,5,10,10,15,22,26,21,18,9,16,37,12,14,10,6,3,3
3,4,12,13,14,22,33,22,23,4,10,25,10,11,3,3,3,3
2,3,12,14,17,32,26,17,16,7,6,31,20,6,4,1,2,3
1,0,6,14,19,24,32,18,19,14,18,24,16,8,6,2,3,1
3,3,3,7,16,32,38,23,21,15,17,20,21,14,2,5,0,3
1,3,10,11,22,27,26,9,22,11,17,46,13,12,4,7,2,2
2,3,10,4,11,34,32,28,15,8,8,23,19,7,10,6,0,3
2,6,9,11,20,17,37,21,19,12,15,21,21,9,6,5,0,2
3,2,10,14,17,26,31,19,18,13,7,23,18,5,5,8,3,2
2,2,8,9,20,22,33,16,19,10,11,19,19,21,3,4,0,0
4,1,10,15,11,18,28,14,17,9,17,25,16,15,2,7,1,2
5,3,9,14,14,29,38,28,21,15,8,20,20,16,2,4,2,5
0,1,3,12,12,29,32,10,19,6,8,21,16,14,8,4,5,0
0,5,9,16,12,25,32,16,19,12,6,25,25,13,0,6,3,2
2,2,8,13,10,22,31,13,21,12,12,25,26,13,6,4,3,5
2,3,9,9,15,20,34,21,13,13,8,41,18,16,6,3,3,1
2,2,11,2,12,29,33,21,16,18,17,37,18,12,8,4,1,2
3,5,7,11,10,26,24,12,16,9,13,22,17,7,6,4,2,0
2,2,6,9,12,25,29,24,4,19,7,30,16,12,15,4,3,1
1,3,9,8,14,23,35,19,13,12,10,27,19,14,6,2,3,3
1,3,5,14,20,31,23,15,19,15,12,26,22,10,7,1,2,1
2,6,8,12,10,19,30,13,13,15,16,26,19,15,5,6,0,2
5,1,11,6,23,25,43,3,16,10,8,30,20,8,4,4,3,2
2,3,7,6,15,36,29,16,16,15,14,37,16,12,4,0,2,3
5,0,11,13,13,31,27,20,6,17,11,36,16,11,5,5,3,2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,
